model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
11,11_trigger,,201,7.533784769694011,0.1111111111111111,10,9000
global,combine,,201,6.409934800889757,2.5444444444444443,229,9000
global,global_in_77_trigger,,201,6.7208501180013025,1.6444444444444446,148,9000
global,global_in_11_trigger,,201,6.397165083143446,2.7,243,9000
global,combine,,202,6.044630333794488,3.255555555555555,293,9000
global,global_in_77_trigger,,202,6.369078670925564,2.1,189,9000
global,global_in_11_trigger,,202,6.0326284993489585,3.4666666666666663,312,9000
global,combine,,203,5.911448120117187,3.5999999999999996,324,9000
global,global_in_77_trigger,,203,6.241755776299371,2.2777777777777777,205,9000
global,global_in_11_trigger,,203,5.9105447930230035,3.822222222222222,344,9000
77,77_trigger,,204,6.329113864474826,2.3,207,9000
global,combine,,204,5.800630823771159,3.811111111111111,343,9000
global,global_in_77_trigger,,204,6.1495018344455294,2.2888888888888888,206,9000
global,global_in_11_trigger,,204,5.804452489217122,3.9555555555555553,356,9000
global,combine,,205,5.715751597086588,3.977777777777778,358,9000
global,global_in_77_trigger,,205,6.058561879475912,2.511111111111111,226,9000
global,global_in_11_trigger,,205,5.736923763699002,4.2,378,9000
global,combine,,206,5.690479083591037,4.011111111111111,361,9000
global,global_in_77_trigger,,206,6.033779673258463,2.588888888888889,233,9000
global,global_in_11_trigger,,206,5.7126717054578995,4.177777777777777,376,9000
77,77_trigger,,207,nan,0.0,0,9000
global,combine,,207,0.40184782695770266,87.6,7884,9000
global,global_in_77_trigger,,207,0.3514840348031786,89.43333333333334,8049,9000
global,global_in_11_trigger,,207,2.6373791919284395,12.844444444444445,1156,9000
global,combine,,208,0.7924728446536594,77.15555555555555,6944,9000
global,global_in_77_trigger,,208,0.6778197487725152,81.61111111111111,7345,9000
global,global_in_11_trigger,,208,3.10741616736518,7.544444444444444,679,9000
11,11_trigger,,209,nan,0.0,0,9000
global,combine,,209,0.0446045530161096,98.6,8874,9000
global,global_in_77_trigger,,209,1.938011944240994,39.233333333333334,3531,9000
global,global_in_11_trigger,,209,0.04790749283300506,98.57777777777777,8872,9000
global,combine,,210,0.21907957980367873,94.8,8532,9000
global,global_in_77_trigger,,210,2.78460290951199,14.677777777777779,1321,9000
global,global_in_11_trigger,,210,0.26656732575098674,94.16666666666667,8475,9000
global,combine,,211,0.3795175454881456,91.4,8226,9000
global,global_in_77_trigger,,211,3.0174091101752385,9.844444444444445,886,9000
global,global_in_11_trigger,,211,0.49688054699367945,89.13333333333333,8022,9000
77,77_trigger,,212,2.598567488776313,24.53333333333333,2208,9000
global,combine,,212,0.5068015172746446,88.75555555555556,7988,9000
global,global_in_77_trigger,,212,3.099938084072537,9.466666666666667,852,9000
global,global_in_11_trigger,,212,0.6696188532511393,84.85555555555555,7637,9000
global,combine,,213,0.695759812672933,83.78888888888889,7541,9000
global,global_in_77_trigger,,213,3.2398413755628797,6.811111111111111,613,9000
global,global_in_11_trigger,,213,0.9382512969970703,76.25555555555556,6863,9000
global,combine,,214,0.8600533688863119,78.97777777777777,7108,9000
global,global_in_77_trigger,,214,3.3078250851101347,6.522222222222222,587,9000
global,global_in_11_trigger,,214,1.161194502512614,68.83333333333333,6195,9000
global,combine,,215,0.9391007126702202,76.5,6885,9000
global,global_in_77_trigger,,215,3.2912123235066733,7.633333333333334,687,9000
global,global_in_11_trigger,,215,1.2753679296705458,64.92222222222223,5843,9000
global,combine,,216,1.008778000301785,74.72222222222223,6725,9000
global,global_in_77_trigger,,216,3.2878830829196506,8.61111111111111,775,9000
global,global_in_11_trigger,,216,1.3712492569817436,62.36666666666667,5613,9000
global,combine,,217,1.1130715601179335,71.77777777777777,6460,9000
global,global_in_77_trigger,,217,3.3291599934895832,8.566666666666666,771,9000
global,global_in_11_trigger,,217,1.5111330426534018,58.45555555555556,5261,9000
global,combine,,218,1.1510688582526314,70.65555555555557,6359,9000
global,global_in_77_trigger,,218,3.3424659152560765,9.488888888888889,854,9000
global,global_in_11_trigger,,218,1.5718111945258246,56.766666666666666,5109,9000
11,11_trigger,,219,1.3642983707851835,64.18888888888888,5777,9000
global,combine,,219,1.1023891495598688,71.63333333333334,6447,9000
global,global_in_77_trigger,,219,3.247349351671007,11.066666666666666,996,9000
global,global_in_11_trigger,,219,1.5242509723239475,57.733333333333334,5196,9000
global,combine,,220,1.1416511806911893,70.7,6363,9000
global,global_in_77_trigger,,220,3.2605573077731664,12.344444444444443,1111,9000
global,global_in_11_trigger,,220,1.5777075360616049,56.62222222222222,5096,9000
global,combine,,221,1.1562438829210069,70.14444444444445,6313,9000
global,global_in_77_trigger,,221,3.2652939588758683,13.02222222222222,1172,9000
global,global_in_11_trigger,,221,1.6099599037170411,55.400000000000006,4986,9000
global,combine,,222,1.124036173502604,71.32222222222222,6419,9000
global,global_in_77_trigger,,222,3.1894881150987415,15.766666666666667,1419,9000
global,global_in_11_trigger,,222,1.5644271761576334,57.37777777777778,5164,9000
11,11_trigger,,223,1.5800072695414225,59.34444444444444,5341,9000
global,combine,,223,1.133880479176839,71.04444444444444,6394,9000
global,global_in_77_trigger,,223,3.212290785047743,15.433333333333332,1389,9000
global,global_in_11_trigger,,223,1.5816977055867514,56.75555555555556,5108,9000
global,combine,,224,1.1360633430480958,71.05555555555556,6395,9000
global,global_in_77_trigger,,224,3.2368200276692707,15.88888888888889,1430,9000
global,global_in_11_trigger,,224,1.5920432120429144,56.58888888888889,5093,9000
global,combine,,225,1.1674609796735975,70.18888888888888,6317,9000
global,global_in_77_trigger,,225,3.19008617316352,15.822222222222221,1424,9000
global,global_in_11_trigger,,225,1.636464207119412,55.31111111111111,4978,9000
global,combine,,226,1.1623612225850424,70.51111111111112,6346,9000
global,global_in_77_trigger,,226,3.1650371229383683,17.444444444444446,1570,9000
global,global_in_11_trigger,,226,1.6336453221638998,55.78888888888889,5021,9000
global,combine,,227,1.1401657066345214,70.92222222222222,6383,9000
global,global_in_77_trigger,,227,3.1092001427544487,18.666666666666668,1680,9000
global,global_in_11_trigger,,227,1.5920104993184407,56.89999999999999,5121,9000
global,combine,,228,1.1685035052829318,70.26666666666667,6324,9000
global,global_in_77_trigger,,228,3.16857659233941,17.61111111111111,1585,9000
global,global_in_11_trigger,,228,1.6404674839443631,55.63333333333333,5007,9000
global,combine,,229,1.2332306931813557,69.17777777777778,6226,9000
global,global_in_77_trigger,,229,3.266960949367947,17.122222222222224,1541,9000
global,global_in_11_trigger,,229,1.7299237653944228,54.24444444444444,4882,9000
11,11_trigger,,230,1.528264163547092,60.16666666666667,5415,9000
global,combine,,230,1.2160479316711426,69.47777777777779,6253,9000
global,global_in_77_trigger,,230,3.2505818922254774,17.522222222222222,1577,9000
global,global_in_11_trigger,,230,1.7171601172553168,54.455555555555556,4901,9000
global,combine,,231,1.133389463212755,71.41111111111111,6427,9000
global,global_in_77_trigger,,231,3.1232657385932074,20.27777777777778,1825,9000
global,global_in_11_trigger,,231,1.621316872490777,57.111111111111114,5140,9000
global,combine,,232,1.1462650133768717,71.31111111111112,6418,9000
global,global_in_77_trigger,,232,3.1462906138102213,20.244444444444447,1822,9000
global,global_in_11_trigger,,232,1.652466185675727,56.31111111111111,5068,9000
11,11_trigger,,233,1.6914639036390517,57.699999999999996,5193,9000
global,combine,,233,1.154315175374349,71.42222222222222,6428,9000
global,global_in_77_trigger,,233,3.2053832126193575,19.91111111111111,1792,9000
global,global_in_11_trigger,,233,1.6746488859388564,55.900000000000006,5031,9000
global,combine,,234,1.1469707518683538,71.54444444444444,6439,9000
global,global_in_77_trigger,,234,3.1426546156141493,20.84444444444444,1876,9000
global,global_in_11_trigger,,234,1.6754847327338325,55.733333333333334,5016,9000
global,combine,,235,1.1016522907680935,72.6,6534,9000
global,global_in_77_trigger,,235,3.0879742194281685,22.522222222222222,2027,9000
global,global_in_11_trigger,,235,1.6146717508104111,57.599999999999994,5184,9000
global,combine,,236,1.1150187305874295,71.83333333333334,6465,9000
global,global_in_77_trigger,,236,3.0715332404242623,21.91111111111111,1972,9000
global,global_in_11_trigger,,236,1.6474562555948893,56.06666666666666,5046,9000
77,77_trigger,,237,1.9178654691908095,48.98888888888889,4409,9000
global,combine,,237,1.0713602142333984,72.89999999999999,6561,9000
global,global_in_77_trigger,,237,3.000927561442057,23.522222222222222,2117,9000
global,global_in_11_trigger,,237,1.5922923872205945,57.53333333333334,5178,9000
global,combine,,238,1.0515151430765788,73.41111111111111,6607,9000
global,global_in_77_trigger,,238,2.950350538465712,25.744444444444444,2317,9000
global,global_in_11_trigger,,238,1.557392923143175,58.8,5292,9000
77,77_trigger,,239,1.564247258928087,60.08888888888889,5408,9000
global,combine,,239,1.038434231016371,74.07777777777778,6667,9000
global,global_in_77_trigger,,239,2.957385437859429,25.58888888888889,2303,9000
global,global_in_11_trigger,,239,1.5327753423055013,59.68888888888889,5372,9000
global,combine,,240,1.0645626697540282,73.65555555555555,6629,9000
global,global_in_77_trigger,,240,3.0013870713975694,25.866666666666667,2328,9000
global,global_in_11_trigger,,240,1.5688938047620986,59.3,5337,9000
global,combine,,241,1.087334827846951,73.5,6615,9000
global,global_in_77_trigger,,241,3.052145429823134,25.68888888888889,2312,9000
global,global_in_11_trigger,,241,1.5935520646837023,59.25555555555555,5333,9000
global,combine,,242,1.0418665432400174,74.1888888888889,6677,9000
global,global_in_77_trigger,,242,2.955981802198622,25.977777777777778,2338,9000
global,global_in_11_trigger,,242,1.5338828943040637,60.22222222222222,5420,9000
77,77_trigger,,243,1.7540210715399849,54.98888888888889,4949,9000
global,combine,,243,0.9589784935845269,75.46666666666667,6792,9000
global,global_in_77_trigger,,243,2.752072373284234,27.855555555555554,2507,9000
global,global_in_11_trigger,,243,1.4119112197028265,62.06666666666667,5586,9000
global,combine,,244,0.9417093976338704,75.86666666666667,6828,9000
global,global_in_77_trigger,,244,2.7045125300089516,29.61111111111111,2665,9000
global,global_in_11_trigger,,244,1.3887804298400879,62.63333333333333,5637,9000
global,combine,,245,0.9771294422149658,75.12222222222222,6761,9000
global,global_in_77_trigger,,245,2.7910045369466148,27.566666666666666,2481,9000
global,global_in_11_trigger,,245,1.4546157955593533,61.133333333333326,5502,9000
11,11_trigger,,246,1.7649159478081597,58.233333333333334,5241,9000
global,combine,,246,0.9738481000264486,75.4,6786,9000
global,global_in_77_trigger,,246,2.7571936009724936,29.888888888888886,2690,9000
global,global_in_11_trigger,,246,1.444316709306505,62.1888888888889,5597,9000
global,combine,,247,1.003404704199897,74.93333333333332,6744,9000
global,global_in_77_trigger,,247,2.7905052608913845,30.633333333333333,2757,9000
global,global_in_11_trigger,,247,1.4896563487582737,61.67777777777778,5551,9000
11,11_trigger,,248,1.761367472330729,56.84444444444444,5116,9000
global,combine,,248,1.0183219485812718,74.92222222222222,6743,9000
global,global_in_77_trigger,,248,2.8241922844780816,30.555555555555557,2750,9000
global,global_in_11_trigger,,248,1.514625676896837,61.27777777777778,5515,9000
global,combine,,249,1.0231960991753473,75.04444444444445,6754,9000
global,global_in_77_trigger,,249,2.832635957505968,31.655555555555555,2849,9000
global,global_in_11_trigger,,249,1.5225895478990343,61.45555555555555,5531,9000
global,combine,,250,0.9797289254930285,75.84444444444445,6826,9000
global,global_in_77_trigger,,250,2.744031413608127,33.42222222222222,3008,9000
global,global_in_11_trigger,,250,1.4617491221957737,62.83333333333333,5655,9000
global,combine,,251,0.9459308935801188,76.52222222222223,6887,9000
global,global_in_77_trigger,,251,2.668870019700792,34.88888888888889,3140,9000
global,global_in_11_trigger,,251,1.4112583605448406,63.75555555555555,5738,9000
global,combine,,252,0.9807795899709065,76.02222222222223,6842,9000
global,global_in_77_trigger,,252,2.7299138480292426,34.72222222222222,3125,9000
global,global_in_11_trigger,,252,1.4676773334079318,62.922222222222224,5663,9000
global,combine,,253,1.0071824436187744,75.6,6804,9000
global,global_in_77_trigger,,253,2.7890956081814235,34.166666666666664,3075,9000
global,global_in_11_trigger,,253,1.5098289693196614,62.1,5589,9000
77,77_trigger,,254,2.1630662273830836,46.72222222222222,4205,9000
global,combine,,254,1.0141642918056912,75.44444444444444,6790,9000
