11,433.2609,11,392.1022,18.53
12,244.992,12,307.4667,74.81
13,166.0477,13,180.7055,58.69
14,128.7384,14,160.7118,78.61
15,212.7144,15,113.6005,79.48
16,75.8288,16,156.1852,81.41
17,88.287,17,74.8358,84.52
18,64.8001,18,103.4616,79.76
19,118.6877,19,95.6149,74.19
20,157.6867,20,153.0746,72.07
21,170.803,21,173.0474,76.33
22,130.6113,22,139.3383,79.34
23,141.0098,23,150.8717,78.67
24,74.9221,24,157.9413,85.01
25,110.5379,25,80.6611,76.46
26,65.5676,26,165.7683,89.5
27,96.2651,27,52.8357,83.55
28,43.3657,28,98.3009,89.67
29,100.4994,29,64.3548,80.53
30,73.5783,30,128.6857,91.57
31,118.9456,31,48.3896,84.82
32,21.4133,32,125.8469,92.6
33,97.6307,33,36.0349,83.35
34,46.2185,34,98.6137,92.27
35,125.7834,35,32.0447,85.23
36,24.6281,36,137.9958,92.35
37,116.5475,37,24.3751,86.32
38,21.934,38,167.6272,88.23
39,143.6745,39,33.2336,81.8
40,33.9293,40,138.9424,91.85
41,131.0642,41,29.0453,85.45
42,45.3829,42,127.2871,90.87
43,140.2209,43,41.2155,86.01
44,61.2584,44,121.1889,90.97
45,126.0829,45,46.363,88.08
46,95.207,46,80.5544,91.78
47,75.5346,47,22.5266,91.64
48,9.7142,48,13.529,92.84
49,7.0695,49,7.623,93.55
50,7.1379,50,7.0307,93.91
51,7.2544,51,6.9626,94.17
52,7.2015,52,6.7447,94.33
53,6.9219,53,6.7886,94.65
54,7.0107,54,6.8845,94.88
55,7.3035,55,6.6934,94.77
56,6.9829,56,6.8201,94.81
57,6.8397,57,6.7922,94.94
58,6.8657,58,6.6097,95.02
59,6.8657,59,6.6795,94.98
60,6.7079,60,6.6452,95.19
61,6.836,61,6.5932,95.34
62,6.7774,62,6.6186,95.42
63,6.5797,63,6.7668,95.48
64,6.6767,64,6.3024,95.6
65,6.7569,65,6.3618,95.7
66,6.8853,66,6.7044,95.66
67,6.6238,67,6.4393,95.7
68,6.5009,68,6.5818,95.6
69,6.48,69,6.3587,95.71
70,6.3432,70,6.3194,95.63
