model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
17,17_trigger,,201,nan,0.0,0,9000
33,33_trigger,,201,nan,0.0,0,9000
77,77_trigger,,201,nan,0.0,0,9000
11,11_trigger,,201,nan,0.0,0,9000
global,combine,,201,6.537230902777778,2.433333333333333,219,9000
global,global_in_17_trigger,,201,6.537230984157986,2.433333333333333,219,9000
global,global_in_33_trigger,,201,6.537230794270833,2.433333333333333,219,9000
global,global_in_77_trigger,,201,6.537230926513672,2.433333333333333,219,9000
global,global_in_11_trigger,,201,6.5372308858235675,2.433333333333333,219,9000
17,17_trigger,,202,nan,0.0,0,9000
33,33_trigger,,202,nan,0.0,0,9000
77,77_trigger,,202,nan,0.0,0,9000
11,11_trigger,,202,nan,0.0,0,9000
global,combine,,202,6.4555616963704425,2.666666666666667,240,9000
global,global_in_17_trigger,,202,6.455561682807074,2.666666666666667,240,9000
global,global_in_33_trigger,,202,6.45556169128418,2.666666666666667,240,9000
global,global_in_77_trigger,,202,6.455561730278863,2.666666666666667,240,9000
global,global_in_11_trigger,,202,6.455561784532335,2.666666666666667,240,9000
17,17_trigger,,203,nan,0.0,0,9000
33,33_trigger,,203,nan,0.0,0,9000
77,77_trigger,,203,nan,0.0,0,9000
11,11_trigger,,203,nan,0.0,0,9000
global,combine,,203,6.415208896213108,2.788888888888889,251,9000
global,global_in_17_trigger,,203,6.415208938598632,2.788888888888889,251,9000
global,global_in_33_trigger,,203,6.415208913167318,2.788888888888889,251,9000
global,global_in_77_trigger,,203,6.415208855523003,2.788888888888889,251,9000
global,global_in_11_trigger,,203,6.415208911471897,2.788888888888889,251,9000
17,17_trigger,,204,nan,0.0,0,9000
33,33_trigger,,204,nan,0.0,0,9000
77,77_trigger,,204,nan,0.0,0,9000
11,11_trigger,,204,nan,0.0,0,9000
global,combine,,204,6.363935326470269,2.911111111111111,262,9000
global,global_in_17_trigger,,204,6.363935380723741,2.911111111111111,262,9000
global,global_in_33_trigger,,204,6.363935373942057,2.911111111111111,262,9000
global,global_in_77_trigger,,204,6.363935441758898,2.911111111111111,262,9000
global,global_in_11_trigger,,204,6.363935323079427,2.911111111111111,262,9000
17,17_trigger,,205,nan,0.0,0,9000
33,33_trigger,,205,nan,0.0,0,9000
