model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.236026505292472,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.719631142322768,0.423728813559322,38,8968
global,global_in_73_trigger,,11,12.673089593994522,0.4348795718108831,39,8968
global,global_in_51_trigger,,11,12.690431656101577,0.423728813559322,38,8968
global,global_in_74_trigger,,11,12.079296715231903,0.45718108831400533,41,8968
41,41_trigger,,12,19342.601560757696,4.003122212310437,359,8968
global,combine,,12,12.005878857690027,0.45718108831400533,41,8968
global,global_in_41_trigger,,12,12.478148519939657,0.423728813559322,38,8968
global,global_in_73_trigger,,12,12.432287133665195,0.4348795718108831,39,8968
global,global_in_51_trigger,,12,12.449445270194634,0.412578055307761,37,8968
global,global_in_74_trigger,,12,11.852358002199008,0.45718108831400533,41,8968
global,combine,,13,11.944929896243229,0.423728813559322,38,8968
global,global_in_41_trigger,,13,12.413082097280673,0.40142729705619984,36,8968
global,global_in_73_trigger,,13,12.367426577048255,0.423728813559322,38,8968
global,global_in_51_trigger,,13,12.384325122748178,0.3902765388046387,35,8968
global,global_in_74_trigger,,13,11.793900763743908,0.4348795718108831,39,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,11.840534987777179,0.3791257805530776,34,8968
global,global_in_41_trigger,,14,12.303508923587579,0.3791257805530776,34,8968
global,global_in_73_trigger,,14,12.258417713121045,0.3902765388046387,35,8968
global,global_in_51_trigger,,14,12.27463582368114,0.3791257805530776,34,8968
global,global_in_74_trigger,,14,11.691576611453353,0.3902765388046387,35,8968
global,combine,,15,11.701274433697472,0.3902765388046387,35,8968
global,global_in_41_trigger,,15,12.160646872473656,0.3791257805530776,34,8968
global,global_in_73_trigger,,15,12.115768918387067,0.3902765388046387,35,8968
global,global_in_51_trigger,,15,12.131462377910632,0.3791257805530776,34,8968
global,global_in_74_trigger,,15,11.554897734568016,0.40142729705619984,36,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,11.505441024194967,0.40142729705619984,36,8968
global,global_in_41_trigger,,16,11.959951786139944,0.3791257805530776,34,8968
global,global_in_73_trigger,,16,11.91608002311305,0.3902765388046387,35,8968
global,global_in_51_trigger,,16,11.930199550795406,0.3791257805530776,34,8968
global,global_in_74_trigger,,16,11.361637681217516,0.412578055307761,37,8968
74,74_trigger,,17,10.871510823851287,1.1708296164139163,105,8968
global,combine,,17,11.430793780923208,0.412578055307761,37,8968
global,global_in_41_trigger,,17,11.88349101417943,0.3791257805530776,34,8968
global,global_in_73_trigger,,17,11.839824174579821,0.3791257805530776,34,8968
global,global_in_51_trigger,,17,11.853691784214696,0.3791257805530776,34,8968
global,global_in_74_trigger,,17,11.288532657776424,0.423728813559322,38,8968
74,74_trigger,,18,0.0,100.0,8968,8968
41,41_trigger,,18,11.174768749036287,1.4830508474576272,133,8968
global,combine,,18,11.227567386031682,0.4348795718108831,39,8968
global,global_in_41_trigger,,18,11.682851892619341,0.40142729705619984,36,8968
global,global_in_73_trigger,,18,11.638269402319358,0.423728813559322,38,8968
global,global_in_51_trigger,,18,11.65233634860254,0.40142729705619984,36,8968
global,global_in_74_trigger,,18,11.088509702554886,0.4348795718108831,39,8968
global,combine,,19,11.244630119398595,0.412578055307761,37,8968
global,global_in_41_trigger,,19,11.69966955295532,0.3791257805530776,34,8968
global,global_in_73_trigger,,19,11.655248096646421,0.3902765388046387,35,8968
global,global_in_51_trigger,,19,11.669073150798107,0.3791257805530776,34,8968
global,global_in_74_trigger,,19,11.106886254581992,0.412578055307761,37,8968
73,73_trigger,,20,13.393078468826388,0.03345227475468331,3,8968
global,combine,,20,11.262913204536812,0.3679750223015165,33,8968
global,global_in_41_trigger,,20,11.718098263566139,0.3679750223015165,33,8968
global,global_in_73_trigger,,20,11.673366388394086,0.3679750223015165,33,8968
global,global_in_51_trigger,,20,11.687709676485632,0.3679750223015165,33,8968
global,global_in_74_trigger,,20,11.125784271641782,0.3791257805530776,34,8968
74,74_trigger,,21,9.07596174337096,2.085191793041927,187,8968
global,combine,,21,11.222243153336429,0.40142729705619984,36,8968
global,global_in_41_trigger,,21,11.675431020125867,0.3791257805530776,34,8968
global,global_in_73_trigger,,21,11.630782384302444,0.3791257805530776,34,8968
global,global_in_51_trigger,,21,11.645118304175208,0.3791257805530776,34,8968
global,global_in_74_trigger,,21,11.08494853548021,0.3902765388046387,35,8968
global,combine,,22,11.234447509023784,0.3679750223015165,33,8968
global,global_in_41_trigger,,22,11.684920275243236,0.3456735057983943,31,8968
global,global_in_73_trigger,,22,11.640492605163411,0.35682426404995543,32,8968
global,global_in_51_trigger,,22,11.654900156951822,0.35682426404995543,32,8968
global,global_in_74_trigger,,22,11.098506673971103,0.3791257805530776,34,8968
73,73_trigger,,23,11.958578179501508,0.07805530776092774,7,8968
global,combine,,23,11.26413422583683,0.35682426404995543,32,8968
global,global_in_41_trigger,,23,11.715055191761463,0.32337198929527206,29,8968
global,global_in_73_trigger,,23,11.670344773836161,0.32337198929527206,29,8968
global,global_in_51_trigger,,23,11.685108780329191,0.32337198929527206,29,8968
global,global_in_74_trigger,,23,11.128700435002077,0.3679750223015165,33,8968
73,73_trigger,,24,11.156149495828375,0.06690454950936663,6,8968
global,combine,,24,11.193001483403393,0.3679750223015165,33,8968
global,global_in_41_trigger,,24,11.642686838767657,0.3345227475468332,30,8968
global,global_in_73_trigger,,24,11.598181242181402,0.3456735057983943,31,8968
global,global_in_51_trigger,,24,11.612474866045256,0.3345227475468332,30,8968
global,global_in_74_trigger,,24,11.057851655264182,0.3791257805530776,34,8968
51,51_trigger,,25,9.12638908236501,2.508920606601249,225,8968
global,combine,,25,11.12203558208047,0.3902765388046387,35,8968
global,global_in_41_trigger,,25,11.572949631526788,0.3456735057983943,31,8968
global,global_in_73_trigger,,25,11.528121810423062,0.3456735057983943,31,8968
global,global_in_51_trigger,,25,11.542312257104852,0.3456735057983943,31,8968
global,global_in_74_trigger,,25,10.988283170109662,0.40142729705619984,36,8968
74,74_trigger,,26,8.504494845707644,2.8880463871543265,259,8968
global,combine,,26,10.961953538321257,0.4348795718108831,39,8968
global,global_in_41_trigger,,26,11.415014847169276,0.35682426404995543,32,8968
global,global_in_73_trigger,,26,11.370225670718382,0.3902765388046387,35,8968
global,global_in_51_trigger,,26,11.383435725740403,0.3902765388046387,35,8968
global,global_in_74_trigger,,26,10.828921451619648,0.423728813559322,38,8968
73,73_trigger,,27,13.14899281749334,0.06690454950936663,6,8968
global,combine,,27,11.017877114233857,0.412578055307761,37,8968
global,global_in_41_trigger,,27,11.472196914169217,0.3456735057983943,31,8968
global,global_in_73_trigger,,27,11.426576646707826,0.3456735057983943,31,8968
global,global_in_51_trigger,,27,11.440958382932338,0.3456735057983943,31,8968
global,global_in_74_trigger,,27,10.886295696330007,0.412578055307761,37,8968
global,combine,,28,10.966892387056648,0.412578055307761,37,8968
global,global_in_41_trigger,,28,11.420279268916433,0.35682426404995543,32,8968
global,global_in_73_trigger,,28,11.374534623097565,0.35682426404995543,32,8968
global,global_in_51_trigger,,28,11.389117905330062,0.35682426404995543,32,8968
global,global_in_74_trigger,,28,10.835884955182445,0.423728813559322,38,8968
global,combine,,29,10.883669513767048,0.4348795718108831,39,8968
global,global_in_41_trigger,,29,11.335186889403426,0.3679750223015165,33,8968
global,global_in_73_trigger,,29,11.290597232508937,0.3791257805530776,34,8968
global,global_in_51_trigger,,29,11.303648660270154,0.3679750223015165,33,8968
global,global_in_74_trigger,,29,10.752777334412329,0.423728813559322,38,8968
global,combine,,30,10.861486507249028,0.412578055307761,37,8968
global,global_in_41_trigger,,30,11.311370869176288,0.3679750223015165,33,8968
global,global_in_73_trigger,,30,11.267124151354066,0.3679750223015165,33,8968
global,global_in_51_trigger,,30,11.27967462616239,0.3679750223015165,33,8968
global,global_in_74_trigger,,30,10.731010455727896,0.423728813559322,38,8968
73,73_trigger,,31,13.111470509170955,0.04460303300624443,4,8968
global,combine,,31,10.848793215245461,0.412578055307761,37,8968
global,global_in_41_trigger,,31,11.300177884676113,0.35682426404995543,32,8968
global,global_in_73_trigger,,31,11.255686624681811,0.3679750223015165,33,8968
global,global_in_51_trigger,,31,11.268289663874603,0.35682426404995543,32,8968
global,global_in_74_trigger,,31,10.71871124560231,0.423728813559322,38,8968
41,41_trigger,,32,10.85531992406105,2.0405887600356825,183,8968
global,combine,,32,10.858183449022905,0.40142729705619984,36,8968
global,global_in_41_trigger,,32,11.304855347530422,0.35682426404995543,32,8968
global,global_in_73_trigger,,32,11.261040916408842,0.35682426404995543,32,8968
global,global_in_51_trigger,,32,11.273426031236879,0.35682426404995543,32,8968
global,global_in_74_trigger,,32,10.727882527326708,0.412578055307761,37,8968
global,combine,,33,10.888179271163736,0.3791257805530776,34,8968
global,global_in_41_trigger,,33,11.335749509608926,0.35682426404995543,32,8968
global,global_in_73_trigger,,33,11.291259616746315,0.35682426404995543,32,8968
global,global_in_51_trigger,,33,11.304449705860637,0.35682426404995543,32,8968
global,global_in_74_trigger,,33,10.758327198283785,0.3791257805530776,34,8968
41,41_trigger,,34,10.542113953674615,2.107493309545049,189,8968
global,combine,,34,10.806005895616325,0.40142729705619984,36,8968
global,global_in_41_trigger,,34,11.251478615453689,0.35682426404995543,32,8968
global,global_in_73_trigger,,34,11.207189145628412,0.35682426404995543,32,8968
global,global_in_51_trigger,,34,11.220015808262003,0.35682426404995543,32,8968
global,global_in_74_trigger,,34,10.676711592048965,0.412578055307761,37,8968
global,combine,,35,10.799146982306992,0.3679750223015165,33,8968
global,global_in_41_trigger,,35,11.241373097013938,0.35682426404995543,32,8968
global,global_in_73_trigger,,35,11.19750795100652,0.35682426404995543,32,8968
global,global_in_51_trigger,,35,11.210005584090656,0.35682426404995543,32,8968
global,global_in_74_trigger,,35,10.67037061151918,0.40142729705619984,36,8968
global,combine,,36,10.795864449772422,0.3791257805530776,34,8968
global,global_in_41_trigger,,36,11.240851586892283,0.35682426404995543,32,8968
global,global_in_73_trigger,,36,11.197057532583571,0.35682426404995543,32,8968
global,global_in_51_trigger,,36,11.209102833090245,0.35682426404995543,32,8968
global,global_in_74_trigger,,36,10.66695373085968,0.40142729705619984,36,8968
global,combine,,37,10.759709644913142,0.3791257805530776,34,8968
global,global_in_41_trigger,,37,11.204714485835433,0.3456735057983943,31,8968
global,global_in_73_trigger,,37,11.161063639209486,0.35682426404995543,32,8968
global,global_in_51_trigger,,37,11.172596673684712,0.35682426404995543,32,8968
global,global_in_74_trigger,,37,10.631334099782354,0.40142729705619984,36,8968
global,combine,,38,10.818375516852345,0.3902765388046387,35,8968
global,global_in_41_trigger,,38,11.265222563900977,0.3345227475468332,30,8968
global,global_in_73_trigger,,38,11.221399080104641,0.3345227475468332,30,8968
global,global_in_51_trigger,,38,11.233077093493609,0.3345227475468332,30,8968
global,global_in_74_trigger,,38,10.689890813019316,0.40142729705619984,36,8968
global,combine,,39,10.832804188996315,0.40142729705619984,36,8968
global,global_in_41_trigger,,39,11.281254044395807,0.35682426404995543,32,8968
global,global_in_73_trigger,,39,11.237711357708811,0.35682426404995543,32,8968
global,global_in_51_trigger,,39,11.248704749489342,0.35682426404995543,32,8968
global,global_in_74_trigger,,39,10.70409115205164,0.40142729705619984,36,8968
global,combine,,40,10.786564285897656,0.40142729705619984,36,8968
global,global_in_41_trigger,,40,11.235050058492478,0.35682426404995543,32,8968
global,global_in_73_trigger,,40,11.191083635845747,0.3679750223015165,33,8968
global,global_in_51_trigger,,40,11.202109520611861,0.3679750223015165,33,8968
global,global_in_74_trigger,,40,10.658558849773696,0.412578055307761,37,8968
74,74_trigger,,41,9.647313903209676,1.6614629794826048,149,8968
global,combine,,41,10.876013982944675,0.3902765388046387,35,8968
global,global_in_41_trigger,,41,11.327503826233237,0.3456735057983943,31,8968
global,global_in_73_trigger,,41,11.283361930915227,0.3456735057983943,31,8968
global,global_in_51_trigger,,41,11.294494588921689,0.35682426404995543,32,8968
global,global_in_74_trigger,,41,10.746775667971527,0.40142729705619984,36,8968
global,combine,,42,10.881165798809993,0.3902765388046387,35,8968
global,global_in_41_trigger,,42,11.335275730844272,0.3679750223015165,33,8968
global,global_in_73_trigger,,42,11.290729296409477,0.3679750223015165,33,8968
global,global_in_51_trigger,,42,11.302224144778222,0.3679750223015165,33,8968
global,global_in_74_trigger,,42,10.752331532079337,0.412578055307761,37,8968
73,73_trigger,,43,13.267406022091405,0.06690454950936663,6,8968
global,combine,,43,10.918388458578635,0.3791257805530776,34,8968
global,global_in_41_trigger,,43,11.373091391428149,0.32337198929527206,29,8968
global,global_in_73_trigger,,43,11.32802223457384,0.3345227475468332,30,8968
global,global_in_51_trigger,,43,11.340117876493537,0.32337198929527206,29,8968
global,global_in_74_trigger,,43,10.79007978124559,0.35682426404995543,32,8968
global,combine,,44,10.91503434857548,0.3902765388046387,35,8968
global,global_in_41_trigger,,44,11.373140848927154,0.35682426404995543,32,8968
global,global_in_73_trigger,,44,11.327866153563908,0.3679750223015165,33,8968
global,global_in_51_trigger,,44,11.339646810723883,0.35682426404995543,32,8968
global,global_in_74_trigger,,44,10.785958821809686,0.412578055307761,37,8968
51,51_trigger,,45,8.633712551617176,6.422836752899197,576,8968
global,combine,,45,10.879195274570815,0.423728813559322,38,8968
global,global_in_41_trigger,,45,11.336079571100349,0.3679750223015165,33,8968
global,global_in_73_trigger,,45,11.290805500176845,0.3791257805530776,34,8968
global,global_in_51_trigger,,45,11.302360438534876,0.3902765388046387,35,8968
global,global_in_74_trigger,,45,10.749930224388864,0.423728813559322,38,8968
global,combine,,46,10.955977729981122,0.3791257805530776,34,8968
global,global_in_41_trigger,,46,11.41398348710454,0.3345227475468332,30,8968
global,global_in_73_trigger,,46,11.368473457077803,0.3345227475468332,30,8968
global,global_in_51_trigger,,46,11.380285115033574,0.3345227475468332,30,8968
global,global_in_74_trigger,,46,10.826763342790153,0.3902765388046387,35,8968
global,combine,,47,10.937350085119814,0.35682426404995543,32,8968
global,global_in_41_trigger,,47,11.39442678310316,0.3345227475468332,30,8968
global,global_in_73_trigger,,47,11.348847755888123,0.3345227475468332,30,8968
global,global_in_51_trigger,,47,11.360602422232716,0.3345227475468332,30,8968
global,global_in_74_trigger,,47,10.808833682888007,0.3679750223015165,33,8968
global,combine,,48,10.902121599182074,0.3679750223015165,33,8968
global,global_in_41_trigger,,48,11.355612337110726,0.3456735057983943,31,8968
global,global_in_73_trigger,,48,11.31042371489553,0.3456735057983943,31,8968
global,global_in_51_trigger,,48,11.321941135825057,0.3456735057983943,31,8968
global,global_in_74_trigger,,48,10.77324822925224,0.3679750223015165,33,8968
global,combine,,49,10.892580170167758,0.3679750223015165,33,8968
global,global_in_41_trigger,,49,11.348588487487303,0.3345227475468332,30,8968
global,global_in_73_trigger,,49,11.303355510483673,0.3345227475468332,30,8968
global,global_in_51_trigger,,49,11.314545162653518,0.3345227475468332,30,8968
global,global_in_74_trigger,,49,10.763750607152797,0.3679750223015165,33,8968
51,51_trigger,,50,10.481741894152844,2.029438001784121,182,8968
global,combine,,50,10.947194495868938,0.412578055307761,37,8968
global,global_in_41_trigger,,50,11.407816538951101,0.3345227475468332,30,8968
global,global_in_73_trigger,,50,11.362225734156015,0.35682426404995543,32,8968
global,global_in_51_trigger,,50,11.373536603350814,0.3345227475468332,30,8968
global,global_in_74_trigger,,50,10.817454140703132,0.40142729705619984,36,8968
global,combine,,51,10.923328167407455,0.412578055307761,37,8968
global,global_in_41_trigger,,51,11.385469879027884,0.3456735057983943,31,8968
global,global_in_73_trigger,,51,11.339809328397399,0.35682426404995543,32,8968
global,global_in_51_trigger,,51,11.35069676534498,0.3679750223015165,33,8968
global,global_in_74_trigger,,51,10.79291738174942,0.412578055307761,37,8968
global,combine,,52,10.948909483883234,0.412578055307761,37,8968
global,global_in_41_trigger,,52,11.41094380973387,0.3345227475468332,30,8968
global,global_in_73_trigger,,52,11.36554089834603,0.3456735057983943,31,8968
global,global_in_51_trigger,,52,11.375986563744659,0.3456735057983943,31,8968
global,global_in_74_trigger,,52,10.818813682134188,0.412578055307761,37,8968
global,combine,,53,10.997974368528423,0.40142729705619984,36,8968
global,global_in_41_trigger,,53,11.45803990308777,0.31222123104371097,28,8968
global,global_in_73_trigger,,53,11.413058364316887,0.32337198929527206,29,8968
global,global_in_51_trigger,,53,11.423423127336868,0.32337198929527206,29,8968
global,global_in_74_trigger,,53,10.867299749423733,0.3902765388046387,35,8968
global,combine,,54,11.061631816077934,0.3791257805530776,34,8968
global,global_in_41_trigger,,54,11.52420340171358,0.31222123104371097,28,8968
global,global_in_73_trigger,,54,11.47876948357479,0.32337198929527206,29,8968
global,global_in_51_trigger,,54,11.489528161728627,0.32337198929527206,29,8968
global,global_in_74_trigger,,54,10.931638342477083,0.3902765388046387,35,8968
global,combine,,55,10.957909001291702,0.40142729705619984,36,8968
global,global_in_41_trigger,,55,11.419260959982553,0.3456735057983943,31,8968
global,global_in_73_trigger,,55,11.373815795122567,0.35682426404995543,32,8968
global,global_in_51_trigger,,55,11.384263221543351,0.35682426404995543,32,8968
global,global_in_74_trigger,,55,10.828752983903161,0.40142729705619984,36,8968
global,combine,,56,10.863445460636843,0.412578055307761,37,8968
global,global_in_41_trigger,,56,11.324427813956186,0.35682426404995543,32,8968
global,global_in_73_trigger,,56,11.27864912936562,0.35682426404995543,32,8968
global,global_in_51_trigger,,56,11.288870762970488,0.35682426404995543,32,8968
global,global_in_74_trigger,,56,10.736303266513358,0.412578055307761,37,8968
global,combine,,57,10.868850107388662,0.3902765388046387,35,8968
global,global_in_41_trigger,,57,11.330622698556729,0.3456735057983943,31,8968
global,global_in_73_trigger,,57,11.284792584462638,0.3679750223015165,33,8968
