model,epoch,average_loss,accuracy,correct_data,total_data
17,201,0.4110186815261841,87.3,7857,9000
17,201,nan,0.0,0,9000
33,201,0.2516840648121304,91.03333333333333,8193,9000
33,201,nan,0.0,0,9000
77,201,0.17415270548148287,95.66666666666667,8610,9000
77,201,nan,0.0,0,9000
11,201,0.2084979645129707,94.66666666666667,8520,9000
11,201,nan,0.0,0,9000
global,201,6.588450080023872,2.2444444444444445,202,9000
17,202,0.2523205110761854,90.78888888888889,8171,9000
17,202,nan,0.0,0,9000
33,202,0.16915114569664003,93.68888888888888,8432,9000
33,202,nan,0.0,0,9000
77,202,0.19178812930650183,94.6,8514,9000
77,202,nan,0.0,0,9000
11,202,0.10103844255540106,97.01111111111112,8731,9000
11,202,nan,0.0,0,9000
global,202,6.582644887288412,2.2666666666666666,204,9000
17,203,0.3936898834440443,87.56666666666668,7881,9000
17,203,nan,0.0,0,9000
33,203,0.2767111424472597,92.46666666666667,8322,9000
33,203,nan,0.0,0,9000
77,203,0.11899357231582204,96.83333333333334,8715,9000
77,203,nan,0.0,0,9000
11,203,0.049081256024882246,98.35555555555555,8852,9000
11,203,nan,0.0,0,9000
global,203,6.543697438557943,2.3444444444444446,211,9000
17,204,0.17455435882674322,94.06666666666666,8466,9000
17,204,nan,0.0,0,9000
33,204,0.5631180869208442,84.35555555555555,7592,9000
33,204,nan,0.0,0,9000
77,204,0.17394534343522455,95.6888888888889,8612,9000
77,204,nan,0.0,0,9000
11,204,0.11796319627596272,96.62222222222222,8696,9000
11,204,nan,0.0,0,9000
global,204,6.514599097357856,2.388888888888889,215,9000
17,205,0.41758359739515516,83.5,7515,9000
17,205,nan,0.0,0,9000
33,205,0.22477689515219795,92.22222222222223,8300,9000
33,205,nan,0.0,0,9000
77,205,0.12782172238868145,96.11111111111111,8650,9000
77,205,nan,0.0,0,9000
11,205,0.11713982040062547,96.61111111111111,8695,9000
11,205,nan,0.0,0,9000
global,205,6.465409289889865,2.555555555555556,230,9000
17,206,0.5572905389997694,82.16666666666667,7395,9000
17,206,nan,0.0,0,9000
33,206,0.1514518391026391,94.63333333333334,8517,9000
33,206,nan,0.0,0,9000
77,206,0.1679797619209211,96.34444444444445,8671,9000
77,206,nan,0.0,0,9000
11,206,0.24876761722564697,93.23333333333333,8391,9000
11,206,nan,0.0,0,9000
global,206,6.4183164706759985,2.6222222222222222,236,9000
17,207,0.019233861926529143,99.65555555555555,8969,9000
17,207,nan,0.0,0,9000
33,207,0.36632609695858426,86.47777777777777,7783,9000
33,207,nan,0.0,0,9000
77,207,0.27883884375625184,93.07777777777778,8377,9000
77,207,nan,0.0,0,9000
11,207,0.14995267848836052,95.78888888888889,8621,9000
11,207,nan,0.0,0,9000
global,207,6.420372297498915,2.6333333333333333,237,9000
17,208,0.43871645842658147,86.01111111111112,7741,9000
17,208,nan,0.0,0,9000
33,208,0.2264235639837053,93.14444444444445,8383,9000
33,208,nan,0.0,0,9000
77,208,0.12198640676779259,97.01111111111112,8731,9000
77,208,nan,0.0,0,9000
11,208,0.348154457728068,92.18888888888888,8297,9000
11,208,nan,0.0,0,9000
global,208,6.4136302558051215,2.6555555555555554,239,9000
17,209,0.08611453119913737,96.93333333333334,8724,9000
17,209,nan,0.0,0,9000
33,209,0.14145868952406776,95.04444444444444,8554,9000
33,209,nan,0.0,0,9000
77,209,0.11377189507278511,96.88888888888889,8720,9000
77,209,nan,0.0,0,9000
11,209,0.22812563608090083,93.61111111111111,8425,9000
11,209,nan,0.0,0,9000
global,209,6.405575556437174,2.666666666666667,240,9000
17,210,0.14490418556001453,95.5,8595,9000
17,210,nan,0.0,0,9000
33,210,0.732611688401964,78.16666666666666,7035,9000
33,210,nan,0.0,0,9000
77,210,0.15861641894053255,96.24444444444444,8662,9000
77,210,nan,0.0,0,9000
11,210,0.18758622401124903,95.28888888888889,8576,9000
11,210,nan,0.0,0,9000
global,210,6.378923428005642,2.7555555555555555,248,9000
