model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.05097410693618466,98.38314005352365,8823,8968
41,11,0.0,100.0,8968,8968
73,11,0.04535049605008836,98.82917038358609,8863,8968
73,11,0.0,100.0,8968,8968
51,11,0.07555245850019217,97.36842105263158,8732,8968
51,11,0.0,100.0,8968,8968
74,11,0.05500207992352007,97.89250669045495,8779,8968
74,11,0.0,100.0,8968,8968
global,11,12.263232934698262,0.45718108831400533,41,8968
41,12,0.03475897754048206,98.68421052631578,8850,8968
41,12,0.0,100.0,8968,8968
73,12,0.09411055197395936,96.04148082069581,8613,8968
73,12,0.0,100.0,8968,8968
51,12,0.06629691412324505,97.61373773416592,8754,8968
51,12,0.0,100.0,8968,8968
74,12,0.04414515812440138,98.27163247100803,8813,8968
74,12,0.0,100.0,8968,8968
global,12,12.26973920885098,0.4683318465655665,42,8968
41,13,0.030284679865125605,99.11909009812668,8889,8968
41,13,0.0,100.0,8968,8968
73,13,0.020992566400226686,99.40900981266726,8915,8968
73,13,0.0,100.0,8968,8968
51,13,0.07870991725846793,97.2792149866191,8724,8968
51,13,0.0,100.0,8968,8968
74,13,0.05310832378043262,97.88135593220339,8778,8968
74,13,0.0,100.0,8968,8968
global,13,12.204846524213915,0.47948260481712757,43,8968
41,14,0.01524555008866958,99.55396966993756,8928,8968
41,14,0.0,100.0,8968,8968
73,14,0.043254310452943395,98.5950044603033,8842,8968
73,14,0.0,100.0,8968,8968
51,14,0.03322815258026017,99.04103479036574,8882,8968
51,14,0.0,100.0,8968,8968
74,14,0.055912188132169735,97.63603925066904,8756,8968
74,14,0.0,100.0,8968,8968
global,14,12.165550402080662,0.5129348795718109,46,8968
41,15,0.03971440620582474,98.7399643175736,8855,8968
41,15,0.0,100.0,8968,8968
73,15,0.04760531417840226,98.29393398751115,8815,8968
73,15,0.0,100.0,8968,8968
51,15,0.04800076817544917,98.27163247100803,8813,8968
51,15,0.0,100.0,8968,8968
74,15,0.03266483884766685,98.66190900981266,8848,8968
74,15,0.0,100.0,8968,8968
global,15,12.173600579669282,0.524085637823372,47,8968
41,16,0.018225774103750696,99.47591436217664,8921,8968
41,16,0.0,100.0,8968,8968
73,16,0.04618376106136777,98.26048171275646,8812,8968
73,16,0.0,100.0,8968,8968
51,16,0.0679161338788606,97.51338090990187,8745,8968
51,16,0.0,100.0,8968,8968
74,16,0.04359811135832749,98.16012488849242,8803,8968
74,16,0.0,100.0,8968,8968
global,16,12.088981402122368,0.5463871543264942,49,8968
41,17,0.024037356511409327,99.17484388938448,8894,8968
41,17,91.764272970562,99.98884924174844,8967,8968
73,17,0.06520003423154566,97.66949152542372,8759,8968
73,17,0.0,100.0,8968,8968
51,17,0.038611744861571276,98.49464763603925,8833,8968
51,17,0.0,100.0,8968,8968
74,17,0.04130801955656706,98.2270294380018,8809,8968
74,17,0.0,100.0,8968,8968
global,17,12.00519439091542,0.5575379125780553,50,8968
41,18,0.02758292859629645,98.89607493309545,8869,8968
41,18,0.0,100.0,8968,8968
73,18,0.02452078321678639,99.05218554861732,8883,8968
73,18,0.0,100.0,8968,8968
51,18,0.026748362110865807,99.07448706512044,8885,8968
51,18,0.0,100.0,8968,8968
74,18,0.030440272120335184,98.77341659232827,8858,8968
74,18,0.0,100.0,8968,8968
global,18,11.953897977279404,0.5798394290811775,52,8968
41,19,0.014916348276472086,99.56512042818912,8929,8968
41,19,0.0,100.0,8968,8968
73,19,0.036816814369784776,98.52809991079393,8836,8968
73,19,0.0,100.0,8968,8968
51,19,0.03321298374150557,98.61730597680642,8844,8968
51,19,0.0,100.0,8968,8968
74,19,0.04161080100260389,98.20472792149866,8807,8968
74,19,0.0,100.0,8968,8968
global,19,11.959244799550147,0.6021409455842998,54,8968
41,20,0.011709643177788649,99.5985727029438,8932,8968
41,20,0.0,100.0,8968,8968
73,20,0.03409650343317409,98.68421052631578,8850,8968
73,20,0.0,100.0,8968,8968
51,20,0.044964832450652845,98.26048171275646,8812,8968
51,20,0.0,100.0,8968,8968
74,20,0.03693420825479178,98.450044603033,8829,8968
74,20,0.0,100.0,8968,8968
global,20,11.865565617312075,0.6021409455842998,54,8968
41,21,0.012568719350889884,99.62087421944692,8934,8968
41,21,0.0,100.0,8968,8968
73,21,0.03316367879039695,98.72881355932203,8854,8968
73,21,0.0,100.0,8968,8968
51,21,0.028214207371858004,98.87377341659233,8867,8968
51,21,855.9506021409455,99.20829616413917,8897,8968
74,21,0.025251439504822205,99.1079393398751,8888,8968
74,21,0.0,100.0,8968,8968
global,21,11.80305736943295,0.6355932203389831,57,8968
41,22,0.016085843259604042,99.38670829616414,8913,8968
41,22,0.0,100.0,8968,8968
73,22,0.03800469295418324,98.68421052631578,8850,8968
73,22,0.0,100.0,8968,8968
