model,epoch,average_loss,accuracy,correct_data,total_data
17,201,0.2461514786084493,91.44444444444444,8230,9000
17,201,nan,0.0,0,9000
33,201,0.2963320063749949,89.74444444444445,8077,9000
33,201,nan,0.0,0,9000
77,201,0.18549880174878572,95.43333333333334,8589,9000
77,201,nan,0.0,0,9000
11,201,0.1960432340800762,94.94444444444444,8545,9000
11,201,nan,0.0,0,9000
global,201,nan,0.0,0,9000
17,202,0.48317453893025714,80.85555555555555,7277,9000
17,202,nan,0.0,0,9000
33,202,0.5361988508436415,82.07777777777778,7387,9000
33,202,nan,0.0,0,9000
77,202,0.3757214362886217,89.21111111111111,8029,9000
77,202,nan,0.0,0,9000
11,202,1.153578759935167,69.75555555555556,6278,9000
11,202,nan,0.0,0,9000
global,202,nan,0.0,0,9000
17,203,0.30878379842970105,87.92222222222222,7913,9000
17,203,nan,0.0,0,9000
33,203,0.3963758758968777,84.72222222222221,7625,9000
33,203,nan,0.0,0,9000
77,203,0.10929994140730964,96.71111111111111,8704,9000
77,203,nan,0.0,0,9000
11,203,0.35757526757982044,89.71111111111111,8074,9000
11,203,nan,0.0,0,9000
global,203,nan,0.0,0,9000
17,204,0.4332361848619249,86.36666666666667,7773,9000
17,204,nan,0.0,0,9000
33,204,1.8915765211317275,32.88888888888889,2960,9000
33,204,nan,0.0,0,9000
77,204,0.3472697146733602,87.54444444444445,7879,9000
77,204,nan,0.0,0,9000
11,204,0.5078659245173136,85.27777777777777,7675,9000
11,204,nan,0.0,0,9000
global,204,nan,0.0,0,9000
17,205,1.1762119920518663,69.63333333333334,6267,9000
17,205,nan,0.0,0,9000
33,205,0.8691848956214057,75.12222222222222,6761,9000
33,205,nan,0.0,0,9000
77,205,0.21153106252790893,93.61111111111111,8425,9000
77,205,nan,0.0,0,9000
11,205,0.7621516484684414,88.8,7992,9000
11,205,nan,0.0,0,9000
global,205,nan,0.0,0,9000
17,206,nan,0.0,0,9000
17,206,nan,0.0,0,9000
33,206,nan,0.0,0,9000
33,206,nan,0.0,0,9000
77,206,nan,0.0,0,9000
77,206,nan,0.0,0,9000
11,206,nan,0.0,0,9000
11,206,nan,0.0,0,9000
global,206,nan,0.0,0,9000
17,207,nan,0.0,0,9000
17,207,nan,0.0,0,9000
33,207,nan,0.0,0,9000
33,207,nan,0.0,0,9000
77,207,nan,0.0,0,9000
