model,epoch,average_loss,accuracy,correct_data,total_data
global,201,6.364814646402995,2.822222222222222,254,9000
global,202,6.202207550048828,3.3666666666666663,303,9000
17,203,0.12221907723787202,97.46666666666667,8772,9000
17,203,nan,0.0,0,9000
global,203,5.926357308281792,4.233333333333333,381,9000
global,204,5.854171618991428,4.388888888888888,395,9000
33,205,0.12742869849668123,96.93333333333334,8724,9000
33,205,nan,0.0,0,9000
global,205,5.849456224229601,4.211111111111111,379,9000
global,206,5.775886205037435,4.477777777777778,403,9000
77,207,0.1957877389523718,95.05555555555556,8555,9000
77,207,nan,0.0,0,9000
global,207,5.571705917358399,4.5777777777777775,412,9000
global,208,5.521861960517035,4.133333333333333,372,9000
11,209,0.2703779350386726,93.33333333333333,8400,9000
11,209,nan,0.0,0,9000
global,209,5.501829861111111,4.122222222222223,371,9000
global,210,5.438216512044271,4.766666666666667,429,9000
global,211,5.491811942206489,4.722222222222222,425,9000
global,212,5.573125874837239,4.322222222222223,389,9000
global,213,5.530249955919054,4.711111111111111,424,9000
global,214,5.4105755157470705,5.455555555555556,491,9000
global,215,5.406961212158203,5.488888888888889,494,9000
global,216,5.43830389573839,5.444444444444444,490,9000
global,217,5.399059919569227,5.933333333333334,534,9000
global,218,5.38096779039171,6.155555555555556,554,9000
global,219,5.467551011827257,5.877777777777777,529,9000
global,220,5.5286875813802085,5.833333333333333,525,9000
global,221,5.489431264241537,5.7,513,9000
global,222,5.187686428493923,7.944444444444445,715,9000
global,223,5.208625827365451,7.311111111111111,658,9000
global,224,5.2193414255778,7.422222222222222,668,9000
global,225,5.301113791571723,7.177777777777777,646,9000
global,226,4.937787173800999,7.477777777777778,673,9000
global,227,5.078696358574761,6.877777777777777,619,9000
global,228,5.047402099609375,6.800000000000001,612,9000
global,229,5.153962490505642,6.377777777777778,574,9000
global,230,5.19460634358724,6.188888888888889,557,9000
global,231,5.2287989976671,6.0,540,9000
global,232,5.179773178100586,6.51111111111111,586,9000
global,233,5.264803410847982,5.811111111111112,523,9000
global,234,5.350062915378147,5.433333333333333,489,9000
global,235,5.388500956217448,5.422222222222222,488,9000
global,236,5.444508868747287,5.233333333333333,471,9000
global,237,5.517416778564453,5.422222222222222,488,9000
global,238,5.487332004123264,5.2,468,9000
global,239,5.5317504069010415,5.011111111111111,451,9000
global,240,5.596589433458116,5.044444444444444,454,9000
global,241,5.577081731160482,5.311111111111111,478,9000
global,242,5.5266829783121745,6.044444444444444,544,9000
global,243,5.607386579725477,5.933333333333334,534,9000
global,244,5.491779422336155,7.144444444444445,643,9000
global,245,5.581121524386936,6.444444444444445,580,9000
global,246,5.601071616278754,5.800000000000001,522,9000
global,247,5.703948389689128,5.5888888888888895,503,9000
global,248,5.779503970675998,5.066666666666666,456,9000
global,249,5.765851223415798,5.066666666666666,456,9000
global,250,5.669859586927626,6.344444444444444,571,9000
global,251,5.612117787679036,7.122222222222223,641,9000
global,252,5.593438181559245,7.566666666666666,681,9000
global,253,5.611296683417426,6.933333333333333,624,9000
global,254,5.552284420437283,6.4111111111111105,577,9000
global,255,5.52054424879286,6.722222222222222,605,9000
global,256,5.496505213419597,6.455555555555556,581,9000
global,257,5.500496276855468,6.655555555555556,599,9000
global,258,5.600039162529839,6.622222222222223,596,9000
global,259,5.662987214830187,6.222222222222222,560,9000
global,260,5.666465957641601,6.344444444444444,571,9000
global,261,5.71173210144043,6.066666666666666,546,9000
global,262,5.6579477047390405,6.611111111111111,595,9000
global,263,5.799938129001194,5.888888888888888,530,9000
global,264,5.773512215508355,6.355555555555556,572,9000
global,265,5.835268502129448,5.855555555555555,527,9000
global,266,5.897075805664063,5.7555555555555555,518,9000
global,267,5.913109363132053,5.866666666666666,528,9000
global,268,5.908498982747396,6.2,558,9000
global,269,5.93539402601454,5.844444444444444,526,9000
global,270,5.758857894897461,6.7333333333333325,606,9000
global,271,5.696737906561958,7.0777777777777775,637,9000
global,272,5.748669277615018,6.777777777777779,610,9000
global,273,5.850960066053602,6.477777777777778,583,9000
global,274,5.910523442586263,5.888888888888888,530,9000
