local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,401,201,1,0.008836382068693638,82.75862068965517,600,725
37,402,201,2,0.015926005318760872,72.55172413793105,526,725
53,401,201,1,0.0048232064582407475,90.08,563,625
53,402,201,2,0.003648586105555296,92.80000000000001,580,625
39,401,201,1,0.008146370761096478,83.87096774193549,182,217
39,402,201,2,0.0007557597127743065,99.07834101382488,215,217
11,401,201,1,0.0035662795417010784,93.04029304029304,508,546
11,402,201,2,0.002276058541610837,95.05494505494505,519,546
57,401,201,1,0.006376279983669519,86.55172413793103,251,290
57,402,201,2,0.001155830454081297,98.27586206896551,285,290
63,401,201,1,0.0030240737833082676,93.4840425531915,703,752
63,402,201,2,0.0027665412053465843,94.81382978723404,713,752
48,401,201,1,0.006289187353104353,86.5079365079365,327,378
48,402,201,2,0.0023726709187030792,94.70899470899471,358,378
50,401,201,1,0.0027313597965985537,95.76059850374065,384,401
50,402,201,2,0.0022111840080469847,97.50623441396509,391,401
72,401,201,1,0.008142884820699692,85.27508090614887,527,618
72,402,201,2,0.008251958526670933,88.02588996763754,544,618
88,401,201,1,0.008561861701309681,83.22147651006712,372,447
88,402,201,2,0.0050201378762722015,90.1565995525727,403,447
71,403,202,1,0.00492311455309391,90.30874785591767,1053,1166
71,404,202,2,0.010986922308802605,79.15951972555746,923,1166
92,403,202,1,0.0076287235133349895,86.80904522613065,691,796
92,404,202,2,0.00783179234713316,83.66834170854271,666,796
23,403,202,1,0.00498106237500906,89.11290322580645,221,248
23,404,202,2,0.001165488502010703,97.58064516129032,242,248
26,403,202,1,0.005043428391218185,91.02564102564102,426,468
26,404,202,2,0.00658979220315814,88.67521367521367,415,468
50,403,202,1,0.002023157896474004,96.75810473815461,388,401
50,404,202,2,0.0008758333278819919,98.75311720698254,396,401
14,403,202,1,0.008150049485266209,83.01886792452831,264,318
14,404,202,2,0.0023194714449346066,94.9685534591195,302,318
76,403,202,1,0.04284049943089485,90.76923076923077,59,65
76,404,202,2,0.002571558114141226,100.0,65,65
49,403,202,1,0.0038214586675167084,92.72300469483568,395,426
49,404,202,2,0.0016225235303863883,96.71361502347418,412,426
86,403,202,1,0.005570830777287483,89.62264150943396,190,212
86,404,202,2,0.0020108732860535383,99.52830188679245,211,212
58,403,202,1,0.00937709677964449,84.1880341880342,197,234
58,404,202,2,0.0005842331447638571,99.57264957264957,233,234
17,1213,203,1,0.008885216899216175,89.73384030418251,472,526
17,1214,203,2,0.006002126727253199,93.15589353612167,490,526
17,1215,203,3,0.0030040328856557608,95.05703422053232,500,526
17,1216,203,4,0.0024288964923471212,98.47908745247148,518,526
17,1217,203,5,0.0021254245657473803,98.66920152091255,519,526
17,1218,203,6,0.0009748819866217673,98.28897338403041,517,526
6,405,203,1,0.0027875718660652637,94.42307692307692,491,520
6,406,203,2,0.003017937298864126,95.0,494,520
94,405,203,1,0.007492688950151205,84.72906403940887,172,203
94,406,203,2,0.004828441888093948,94.08866995073892,191,203
61,405,203,1,0.003914416301995516,93.72881355932203,553,590
61,406,203,2,0.006295128259807825,89.49152542372882,528,590
33,405,203,1,0.004952460527420044,91.08159392789373,480,527
33,406,203,2,0.0047687022015452385,89.56356736242884,472,527
71,405,203,1,0.0040000323206186295,92.62435677530017,1080,1166
71,406,203,2,0.006727743428200483,87.56432246998284,1021,1166
8,405,203,1,0.0035565774887800217,94.5692883895131,505,534
8,406,203,2,0.0041951327584683895,92.69662921348315,495,534
69,405,203,1,0.007410860620439053,85.18518518518519,184,216
69,406,203,2,0.0005242218030616641,99.53703703703704,215,216
89,405,203,1,0.007460593245923519,85.4721549636804,353,413
89,406,203,2,0.002719964599236846,94.91525423728814,392,413
64,405,203,1,0.004594507627189159,89.65014577259474,615,686
64,406,203,2,0.005680925212800503,90.0874635568513,618,686
38,407,204,1,0.003656968241557479,93.78306878306879,709,756
38,408,204,2,0.003961827140301466,91.53439153439153,692,756
77,407,204,1,0.0028319437988102436,94.35483870967742,468,496
77,408,204,2,0.001798163284547627,96.16935483870968,477,496
64,407,204,1,0.0029583596624433994,94.31486880466473,647,686
64,408,204,2,0.0036243260838091373,92.4198250728863,634,686
29,407,204,1,0.005953914951533079,88.56132075471697,751,848
29,408,204,2,0.006131686735898256,88.44339622641509,750,848
23,407,204,1,0.00336246844381094,93.54838709677419,232,248
23,408,204,2,0.0007688250043429434,98.79032258064517,245,248
83,407,204,1,0.002224782481789589,95.3551912568306,349,366
83,408,204,2,0.0005231957766227424,99.4535519125683,364,366
43,407,204,1,0.0066770329140126705,88.1159420289855,304,345
43,408,204,2,0.0019708829931914806,95.3623188405797,329,345
56,407,204,1,0.0015636582393199205,97.03903095558546,721,743
56,408,204,2,0.0010855237487703562,97.98115746971736,728,743
45,407,204,1,0.007892847061157227,87.14555765595463,461,529
45,408,204,2,0.00925848726183176,82.98676748582231,439,529
1,407,204,1,0.007253194693475962,92.82371294851795,595,641
1,408,204,2,0.011802710592746735,84.08736349453977,539,641
33,1225,205,1,0.008959616534411907,90.89184060721063,479,527
33,1226,205,2,0.004647491965442896,94.68690702087287,499,527
33,1227,205,3,0.0024042113218456507,97.15370018975332,512,527
33,1228,205,4,0.0015294901095330715,98.10246679316889,517,527
33,1229,205,5,0.0016802066238597035,97.53320683111954,514,527
33,1230,205,6,0.002124376595020294,97.15370018975332,512,527
50,409,205,1,0.0017566410824656487,97.75561097256858,392,401
50,410,205,2,0.0006653714226558805,99.25187032418953,398,401
16,409,205,1,0.004415037110447884,93.91979301423027,726,773
16,410,205,2,0.02382609434425831,62.8719275549806,486,773
12,409,205,1,0.005853557493537664,89.4575230296827,874,977
12,410,205,2,0.007959353737533092,84.33981576253838,824,977
44,409,205,1,0.003945563919842243,91.97247706422019,401,436
44,410,205,2,0.001757363905198872,96.78899082568807,422,436
86,409,205,1,0.0036298728082329035,93.86792452830188,199,212
86,410,205,2,0.0027403761632740498,98.58490566037736,209,212
20,409,205,1,0.0074402703903615475,86.46408839779005,313,362
20,410,205,2,0.0018166719237342477,96.68508287292818,350,362
49,409,205,1,0.0029528005979955196,95.30516431924883,406,426
49,410,205,2,0.0005705507937818766,99.29577464788733,423,426
43,409,205,1,0.0056617786176502705,88.40579710144928,305,345
43,410,205,2,0.003303949488326907,95.94202898550725,331,345
28,409,205,1,0.0026499673258513212,93.3806146572104,395,423
28,410,205,2,0.0016369022196158767,97.87234042553192,414,423
51,411,206,1,0.0038046797271817923,91.8580375782881,440,479
51,412,206,2,0.00235819723457098,94.98956158663883,455,479
4,411,206,1,0.00546546233817935,87.25314183123878,486,557
4,412,206,2,0.0051638176664710045,89.94614003590664,501,557
97,411,206,1,0.002832864411175251,94.25837320574163,394,418
97,412,206,2,0.001308038947172463,97.1291866028708,406,418
85,411,206,1,0.007724708877503872,82.41758241758241,300,364
85,412,206,2,0.003670523641631007,92.03296703296702,335,364
17,411,206,1,0.0027342825196683407,94.67680608365019,498,526
17,412,206,2,0.0020939528476446867,96.57794676806084,508,526
59,411,206,1,0.003200403181836009,93.61370716510903,601,642
59,412,206,2,0.005799807608127594,87.85046728971963,564,642
13,411,206,1,0.004851185716688633,91.29032258064517,566,620
13,412,206,2,0.003691935446113348,93.38709677419355,579,620
57,411,206,1,0.003594041336327791,93.44827586206897,271,290
57,412,206,2,0.0004403205239214003,99.6551724137931,289,290
76,411,206,1,0.026969866827130318,100.0,65,65
76,412,206,2,0.048294857144355774,98.46153846153847,64,65
80,411,206,1,0.0059096976183354855,88.70523415977961,322,363
80,412,206,2,0.0014696832513436675,97.2451790633609,353,363
77,1237,207,1,0.007248545065522194,93.14516129032258,462,496
77,1238,207,2,0.0057075791992247105,93.54838709677419,464,496
77,1239,207,3,0.002347458153963089,96.9758064516129,481,496
77,1240,207,4,0.000945652078371495,98.99193548387096,491,496
77,1241,207,5,0.00035091416793875396,99.59677419354838,494,496
77,1242,207,6,0.00016159463848453015,99.79838709677419,495,496
85,413,207,1,0.005184535402804613,88.46153846153845,322,364
85,414,207,2,0.0031293369829654694,95.87912087912088,349,364
90,413,207,1,0.008422454819083214,91.34948096885813,528,578
90,414,207,2,0.021991664543747902,71.79930795847751,415,578
24,413,207,1,0.003675470594316721,91.875,294,320
24,414,207,2,0.0005418452783487737,99.375,318,320
63,413,207,1,0.001839557196944952,96.27659574468085,724,752
63,414,207,2,0.001998431980609894,96.1436170212766,723,752
1,413,207,1,0.004723467864096165,92.82371294851795,595,641
1,414,207,2,0.011301685124635696,90.79563182527302,582,641
52,413,207,1,0.006577341351658106,86.91588785046729,186,214
52,414,207,2,0.0030324107501655817,95.7943925233645,205,214
31,413,207,1,0.005011289846152067,93.48441926345609,660,706
31,414,207,2,0.01938091404736042,66.57223796033995,470,706
59,413,207,1,0.00561444042250514,93.45794392523365,600,642
59,414,207,2,0.03010384365916252,66.82242990654206,429,642
67,413,207,1,0.004040560685098171,91.33016627078385,769,842
67,414,207,2,0.012641538865864277,77.43467933491686,652,842
71,415,208,1,0.0028089098632335663,95.36878216123499,1112,1166
71,416,208,2,0.007372433319687843,84.81989708404802,989,1166
66,415,208,1,0.00407164404168725,91.7117117117117,509,555
66,416,208,2,0.002333687152713537,95.85585585585585,532,555
76,415,208,1,0.031050220131874084,98.46153846153847,64,65
76,416,208,2,0.0022708605974912643,100.0,65,65
96,415,208,1,0.004774913191795349,92.51412429378531,655,708
96,416,208,2,0.020346730947494507,71.1864406779661,504,708
80,415,208,1,0.004492404870688915,90.08264462809917,327,363
80,416,208,2,0.0014310793485492468,97.7961432506887,355,363
81,415,208,1,0.0058859605342149734,90.61895551257253,937,1034
81,416,208,2,0.017063908278942108,67.40812379110251,697,1034
22,415,208,1,0.0054557668045163155,88.05668016194332,435,494
22,416,208,2,0.00188210338819772,95.74898785425101,473,494
72,415,208,1,0.009477409534156322,82.20064724919094,508,618
72,416,208,2,0.008616801351308823,84.14239482200647,520,618
64,415,208,1,0.002863549627363682,94.60641399416909,649,686
64,416,208,2,0.0023112145718187094,95.91836734693877,658,686
45,415,208,1,0.0051749045960605145,90.17013232514176,477,529
45,416,208,2,0.006540155969560146,88.09073724007561,466,529
11,1249,209,1,0.008251773193478584,88.46153846153845,483,546
11,1250,209,2,0.005709441844373941,93.04029304029304,508,546
11,1251,209,3,0.0021718984935432673,96.7032967032967,528,546
11,1252,209,4,0.0016565568512305617,97.8021978021978,534,546
11,1253,209,5,0.0009318948141299188,99.08424908424908,541,546
11,1254,209,6,0.0006358964019455016,99.26739926739927,542,546
80,417,209,1,0.003088464727625251,94.49035812672176,343,363
80,418,209,2,0.0006948888767510653,99.17355371900827,360,363
54,417,209,1,0.003214688040316105,93.4090909090909,411,440
54,418,209,2,0.0015342041151598096,97.72727272727273,430,440
44,417,209,1,0.003021986223757267,93.34862385321101,407,436
44,418,209,2,0.0020138095133006573,97.01834862385321,423,436
35,417,209,1,0.005174227990210056,90.45346062052506,379,419
35,418,209,2,0.0025366542395204306,96.4200477326969,404,419
68,417,209,1,0.0023277958389371634,95.91346153846155,399,416
68,418,209,2,0.0012328983284533024,98.79807692307693,411,416
25,417,209,1,0.0034332608338445425,93.94495412844037,512,545
25,418,209,2,0.0017351674614474177,96.69724770642202,527,545
