model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.050816858149101224,98.40544157002677,8825,8968
41,11,0.0,100.0,8968,8968
73,11,0.0453533473053663,98.84032114183765,8864,8968
73,11,0.0,100.0,8968,8968
51,11,0.07553897102518767,97.36842105263158,8732,8968
51,11,0.0,100.0,8968,8968
74,11,0.054862054134137514,97.92595896520963,8782,8968
74,11,0.0,100.0,8968,8968
global,11,10.671556133334919,0.5686886708296164,51,8968
41,12,0.04115359594399088,98.40544157002677,8825,8968
41,12,0.0,100.0,8968,8968
73,12,0.0818700370836561,96.6436217662801,8667,8968
73,12,0.0,100.0,8968,8968
51,12,0.05850474665007998,97.71409455842998,8763,8968
51,12,0.0,100.0,8968,8968
74,12,0.04300377514864668,98.28278322925958,8814,8968
74,12,0.0,100.0,8968,8968
global,12,10.15035727107025,0.6132917038358608,55,8968
41,13,0.03608998032552618,98.65075825156111,8847,8968
41,13,0.0,100.0,8968,8968
73,13,0.021337541889475724,99.47591436217664,8921,8968
73,13,0.0,100.0,8968,8968
51,13,0.07949428082141365,96.95584299732381,8695,8968
51,13,0.0,100.0,8968,8968
74,13,0.05145319163704575,97.90365744870651,8780,8968
74,13,0.0,100.0,8968,8968
global,13,9.753827820708983,0.6244424620874219,56,8968
41,14,0.02205193604290299,99.38670829616414,8913,8968
41,14,0.0,100.0,8968,8968
73,14,0.03879908618353553,98.58385370205174,8841,8968
73,14,0.0,100.0,8968,8968
51,14,0.04892672693405058,98.16012488849242,8803,8968
51,14,0.0,100.0,8968,8968
74,14,0.0574183874231008,97.60258697591436,8753,8968
74,14,0.0,100.0,8968,8968
global,14,9.152143047921472,0.7024977698483497,63,8968
41,15,0.04500325278767005,98.450044603033,8829,8968
41,15,0.0,100.0,8968,8968
73,15,0.03768855742225382,98.52809991079393,8836,8968
73,15,0.0,100.0,8968,8968
51,15,0.048239973965030325,98.1935771632471,8806,8968
51,15,0.0,100.0,8968,8968
74,15,0.03385626671737746,98.63960749330954,8846,8968
74,15,0.0,100.0,8968,8968
global,15,2.947187630434742,11.0950044603033,995,8968
41,16,0.014319410755014588,99.45361284567352,8919,8968
41,16,0.0,100.0,8968,8968
73,16,0.03550122250389961,98.82917038358609,8863,8968
73,16,0.0,100.0,8968,8968
51,16,0.06002022460083096,97.70294380017842,8762,8968
51,16,0.0,100.0,8968,8968
74,16,0.010496707586191225,99.55396966993756,8928,8968
74,16,0.0,100.0,8968,8968
global,16,3.137637060311732,10.191793041926852,914,8968
41,17,0.005633506850676053,99.7992863514719,8950,8968
41,17,0.0,100.0,8968,8968
73,17,0.0183097813124285,99.25289919714541,8901,8968
73,17,0.0,100.0,8968,8968
51,17,0.0236932308046665,99.08563782337198,8886,8968
51,17,0.0,100.0,8968,8968
74,17,0.02011512806162406,99.08563782337198,8886,8968
74,17,0.0,100.0,8968,8968
global,17,3.264310848914971,9.611953612845674,862,8968
41,18,0.026740875490648044,99.07448706512044,8885,8968
41,18,0.0,100.0,8968,8968
73,18,0.017372565916272925,99.35325602140945,8910,8968
73,18,0.0,100.0,8968,8968
51,18,0.029853318543322398,98.86262265834077,8866,8968
51,18,0.0,100.0,8968,8968
