model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.236052187290923,0.45718108831400533,41,8968
41,12,0.03291688723627555,99.21944692239072,8898,8968
41,12,0.0,100.0,8968,8968
global,12,12.016274698922722,0.45718108831400533,41,8968
global,13,11.954350925789253,0.423728813559322,38,8968
73,14,0.07023435893379663,97.34611953612846,8730,8968
73,14,0.0,100.0,8968,8968
global,14,11.8596282834777,0.3791257805530776,34,8968
global,15,11.718138973804376,0.3902765388046387,35,8968
51,16,0.09251134514137371,96.53211418376449,8657,8968
51,16,0.0,100.0,8968,8968
global,16,11.537958388451909,0.40142729705619984,36,8968
global,17,11.459921155414019,0.412578055307761,37,8968
74,18,0.07703268731488155,96.7885816235504,8680,8968
74,18,0.0,100.0,8968,8968
global,18,11.252356793814531,0.4348795718108831,39,8968
global,19,11.267381563450373,0.412578055307761,37,8968
global,20,11.283914589009893,0.3679750223015165,33,8968
global,21,11.24112647139101,0.40142729705619984,36,8968
global,22,11.251493979733933,0.3791257805530776,34,8968
global,23,11.281320118457478,0.35682426404995543,32,8968
global,24,11.209462001640599,0.3791257805530776,34,8968
global,25,11.137484264629,0.3902765388046387,35,8968
global,26,10.97588956324146,0.4348795718108831,39,8968
global,27,11.030722278659626,0.412578055307761,37,8968
global,28,10.978950494533134,0.412578055307761,37,8968
global,29,10.89376437334372,0.4348795718108831,39,8968
global,30,10.870878874670705,0.412578055307761,37,8968
global,31,10.85741684715414,0.412578055307761,37,8968
global,32,10.865475405336596,0.40142729705619984,36,8968
global,33,10.895421072375445,0.3791257805530776,34,8968
global,34,10.813362007583496,0.40142729705619984,36,8968
global,35,10.806279601846605,0.3791257805530776,34,8968
global,36,10.803876317897936,0.3791257805530776,34,8968
global,37,10.765673033368046,0.3902765388046387,35,8968
global,38,10.823907679473578,0.3902765388046387,35,8968
global,39,10.836751682645609,0.40142729705619984,36,8968
global,40,10.789884000671005,0.412578055307761,37,8968
global,41,10.878859781134246,0.40142729705619984,36,8968
global,42,10.885446890457521,0.3902765388046387,35,8968
global,43,10.923450269197163,0.3791257805530776,34,8968
global,44,10.91984896187693,0.3902765388046387,35,8968
global,45,10.882623413861808,0.423728813559322,38,8968
global,46,10.96062477309187,0.3791257805530776,34,8968
global,47,10.941945691070421,0.35682426404995543,32,8968
global,48,10.906289315032279,0.3791257805530776,34,8968
global,49,10.895168715348529,0.3791257805530776,34,8968
global,50,10.947947444286227,0.412578055307761,37,8968
global,51,10.924533662787514,0.412578055307761,37,8968
global,52,10.950156276508913,0.412578055307761,37,8968
global,53,10.998711569834564,0.40142729705619984,36,8968
global,54,11.060587149661743,0.3791257805530776,34,8968
global,55,10.956474076202147,0.40142729705619984,36,8968
global,56,10.861696607400859,0.412578055307761,37,8968
global,57,10.867482944219693,0.40142729705619984,36,8968
global,58,10.937043641742907,0.40142729705619984,36,8968
global,59,11.026240672095348,0.412578055307761,37,8968
global,60,10.980160811030364,0.412578055307761,37,8968
global,61,10.972111095391034,0.412578055307761,37,8968
global,62,11.069590456245416,0.3791257805530776,34,8968
global,63,11.015013522914645,0.412578055307761,37,8968
global,64,11.037901222439986,0.412578055307761,37,8968
global,65,11.080119588139013,0.40142729705619984,36,8968
global,66,11.085831918639865,0.3902765388046387,35,8968
global,67,11.041008796147423,0.3791257805530776,34,8968
global,68,11.174631885286956,0.3791257805530776,34,8968
global,69,11.247160083794572,0.3791257805530776,34,8968
global,70,11.307342696891737,0.3791257805530776,34,8968
