model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
11,11_trigger,,201,7.10431804063585,0.12222222222222222,11,9000
global,combine,,201,6.707230139838325,1.7111111111111112,154,9000
global,global_in_17_trigger,,201,6.7206982150607635,1.6222222222222222,146,9000
global,global_in_33_trigger,,201,6.661641764322916,2.0444444444444447,184,9000
global,global_in_77_trigger,,201,6.6093871222602,1.8333333333333333,165,9000
global,global_in_11_trigger,,201,6.729848873562283,2.1777777777777776,196,9000
global,combine,,202,6.539057996961805,1.9333333333333333,174,9000
global,global_in_17_trigger,,202,6.52771646118164,1.9222222222222225,173,9000
global,global_in_33_trigger,,202,6.477353866577149,2.4555555555555557,221,9000
global,global_in_77_trigger,,202,6.405949859619141,2.1999999999999997,198,9000
global,global_in_11_trigger,,202,6.5513565453423395,2.411111111111111,217,9000
17,17_trigger,,203,nan,0.0,0,9000
33,33_trigger,,203,12.841176618787978,0.17777777777777778,16,9000
global,combine,,203,0.43269960000779895,83.6888888888889,7532,9000
global,global_in_17_trigger,,203,0.23075998930136363,91.07777777777778,8197,9000
global,global_in_33_trigger,,203,1.4516967862447103,42.477777777777774,3823,9000
global,global_in_77_trigger,,203,0.8763176239861382,68.77777777777779,6190,9000
global,global_in_11_trigger,,203,2.548099661085341,3.4777777777777774,313,9000
77,77_trigger,,204,3.2768540547688803,15.855555555555556,1427,9000
global,combine,,204,1.1122067430284288,60.333333333333336,5430,9000
global,global_in_17_trigger,,204,0.585697675175137,80.45555555555556,7241,9000
global,global_in_33_trigger,,204,2.424032641092936,8.622222222222224,776,9000
global,global_in_77_trigger,,204,1.6757483512030706,34.28888888888889,3086,9000
global,global_in_11_trigger,,204,2.9615693003336587,0.5111111111111112,46,9000
33,33_trigger,,205,nan,0.0,0,9000
global,combine,,205,0.1298773333893882,95.28888888888889,8576,9000
global,global_in_17_trigger,,205,0.3515531206130981,86.51111111111112,7786,9000
global,global_in_33_trigger,,205,0.27525927803251476,89.61111111111111,8065,9000
global,global_in_77_trigger,,205,1.523925951215956,39.800000000000004,3582,9000
global,global_in_11_trigger,,205,1.0250220654805502,60.74444444444445,5467,9000
17,17_trigger,,206,7.591972374810113,0.0,0,9000
global,combine,,206,0.4125360992219713,85.4888888888889,7694,9000
global,global_in_17_trigger,,206,0.7409579768710666,73.53333333333333,6618,9000
global,global_in_33_trigger,,206,0.6599841796027289,77.17777777777778,6946,9000
global,global_in_77_trigger,,206,2.402973888821072,9.88888888888889,890,9000
global,global_in_11_trigger,,206,1.9545684534708658,23.5,2115,9000
77,77_trigger,,207,nan,0.0,0,9000
global,combine,,207,0.07615387927720116,97.7,8793,9000
global,global_in_17_trigger,,207,0.8266691913604737,75.03333333333333,6753,9000
global,global_in_33_trigger,,207,1.113746740129259,65.18888888888888,5867,9000
global,global_in_77_trigger,,207,0.14771471772756842,95.53333333333333,8598,9000
global,global_in_11_trigger,,207,0.22882408764627243,92.54444444444444,8329,9000
global,combine,,208,0.15242772807015312,95.4888888888889,8594,9000
global,global_in_17_trigger,,208,1.188845418718126,65.60000000000001,5904,9000
global,global_in_33_trigger,,208,1.5892394036187065,51.71111111111111,4654,9000
global,global_in_77_trigger,,208,0.26435982910792033,92.4,8316,9000
global,global_in_11_trigger,,208,0.5912398846944174,80.54444444444444,7249,9000
11,11_trigger,,209,nan,0.0,0,9000
global,combine,,209,0.07825705316207475,97.97777777777777,8818,9000
global,global_in_17_trigger,,209,3.3384142167833115,6.955555555555555,626,9000
global,global_in_33_trigger,,209,3.2240435189141166,8.577777777777778,772,9000
global,global_in_77_trigger,,209,0.4276452467176649,87.45555555555555,7871,9000
global,global_in_11_trigger,,209,0.1879005596637726,95.31111111111112,8578,9000
global,combine,,210,0.16620543495482867,95.58888888888889,8603,9000
global,global_in_17_trigger,,210,3.5959642842610675,2.466666666666667,222,9000
global,global_in_33_trigger,,210,3.6067976904975043,3.722222222222222,335,9000
global,global_in_77_trigger,,210,0.8754429800245497,70.52222222222223,6347,9000
global,global_in_11_trigger,,210,0.492902727233039,87.6111111111111,7885,9000
global,combine,,211,0.2844262073304918,92.84444444444443,8356,9000
global,global_in_17_trigger,,211,3.746469004313151,1.2222222222222223,110,9000
global,global_in_33_trigger,,211,3.7793488633897567,2.0777777777777775,187,9000
global,global_in_77_trigger,,211,1.2980030572679309,55.53333333333333,4998,9000
global,global_in_11_trigger,,211,0.8727376687791613,77.46666666666667,6972,9000
77,77_trigger,,212,0.9865020181867812,69.43333333333334,6249,9000
global,combine,,212,0.3854417844348484,90.33333333333333,8130,9000
global,global_in_17_trigger,,212,3.7381905771891275,1.2444444444444445,112,9000
global,global_in_33_trigger,,212,3.7753340098063153,2.1222222222222222,191,9000
global,global_in_77_trigger,,212,1.5002715004814995,50.34444444444445,4531,9000
global,global_in_11_trigger,,212,1.1409169052971735,69.05555555555556,6215,9000
global,combine,,213,0.4832762250900269,87.78888888888889,7901,9000
