model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.236097441306612,0.45718108831400533,41,8968
41,12,0.8884790130856843,59.8907225691347,5371,8968
41,12,19195.392395182873,3.746654772524532,336,8968
global,12,12.005981310896317,0.45718108831400533,41,8968
global,13,11.945041244738237,0.423728813559322,38,8968
73,14,1.0965083696074405,43.48795718108832,3900,8968
73,14,0.0,100.0,8968,8968
global,14,11.840642405874915,0.3791257805530776,34,8968
global,15,11.701297864650213,0.3902765388046387,35,8968
51,16,0.7901359889041516,59.56735057983943,5342,8968
51,16,0.0,100.0,8968,8968
global,16,11.489158837950518,0.40142729705619984,36,8968
global,17,11.417203371488654,0.412578055307761,37,8968
74,18,0.15043902734126713,93.4879571810883,8384,8968
74,18,0.0,100.0,8968,8968
global,18,11.213426196075357,0.4348795718108831,39,8968
global,19,11.232908818894046,0.412578055307761,37,8968
global,20,11.250452034820094,0.3679750223015165,33,8968
global,21,11.211021356982487,0.40142729705619984,36,8968
global,22,11.224531420419304,0.3791257805530776,34,8968
global,23,11.25860121928614,0.35682426404995543,32,8968
global,24,11.188824343957824,0.3791257805530776,34,8968
global,25,11.118240920482844,0.3902765388046387,35,8968
global,26,10.959650287236835,0.4348795718108831,39,8968
global,27,11.015445587573362,0.412578055307761,37,8968
global,28,10.958970690071316,0.412578055307761,37,8968
global,29,10.87702451190387,0.4348795718108831,39,8968
global,30,10.855142412177162,0.412578055307761,37,8968
global,31,10.843716030988599,0.412578055307761,37,8968
global,32,10.85213298185078,0.40142729705619984,36,8968
global,33,10.881618663097045,0.3791257805530776,34,8968
global,34,10.798795050962177,0.40142729705619984,36,8968
global,35,10.7936584139168,0.3791257805530776,34,8968
global,36,10.790393981627329,0.3791257805530776,34,8968
global,37,10.754056829304487,0.3902765388046387,35,8968
global,38,10.81315817054524,0.3902765388046387,35,8968
global,39,10.827093158419062,0.40142729705619984,36,8968
global,40,10.779698925715914,0.412578055307761,37,8968
global,41,10.869750719640427,0.412578055307761,37,8968
global,42,10.87716153644218,0.3902765388046387,35,8968
global,43,10.915334858073388,0.3791257805530776,34,8968
global,44,10.912766737346667,0.3902765388046387,35,8968
global,45,10.87497289387059,0.423728813559322,38,8968
global,46,10.95394408628411,0.3791257805530776,34,8968
global,47,10.935106307241558,0.35682426404995543,32,8968
global,48,10.897561699444433,0.3679750223015165,33,8968
global,49,10.887859233886827,0.3679750223015165,33,8968
global,50,10.94223531540965,0.412578055307761,37,8968
global,51,10.92042184280137,0.412578055307761,37,8968
global,52,10.946084025074178,0.412578055307761,37,8968
global,53,10.9974703648386,0.40142729705619984,36,8968
global,54,11.060751724413311,0.3791257805530776,34,8968
global,55,10.950469229712644,0.40142729705619984,36,8968
global,56,10.849984479524746,0.412578055307761,37,8968
global,57,10.855565622382457,0.3791257805530776,34,8968
global,58,10.926165674330399,0.40142729705619984,36,8968
global,59,11.01611590832073,0.412578055307761,37,8968
global,60,10.97224217839373,0.412578055307761,37,8968
global,61,10.964335275695964,0.412578055307761,37,8968
global,62,11.05850025758905,0.3791257805530776,34,8968
global,63,11.004088582150326,0.412578055307761,37,8968
global,64,11.027162163093832,0.412578055307761,37,8968
global,65,11.068281495284014,0.40142729705619984,36,8968
global,66,11.074192238534593,0.3902765388046387,35,8968
