local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,401,201,1,0.008837955072522163,82.75862068965517,600,725
37,402,201,2,0.017279114574193954,73.51724137931035,533,725
53,401,201,1,0.004815543070435524,89.92,562,625
53,402,201,2,0.0037785456515848637,92.32000000000001,577,625
39,401,201,1,0.008146122097969055,83.87096774193549,182,217
39,402,201,2,0.0007550391019321978,99.07834101382488,215,217
11,401,201,1,0.003561498364433646,93.22344322344323,509,546
11,402,201,2,0.0023522982373833656,94.87179487179486,518,546
57,401,201,1,0.006374381948262453,86.55172413793103,251,290
57,402,201,2,0.0011531206546351314,98.27586206896551,285,290
63,401,201,1,0.0030245278030633926,93.4840425531915,703,752
63,402,201,2,0.002834081184118986,94.54787234042553,711,752
48,401,201,1,0.006287903059273958,86.5079365079365,327,378
48,402,201,2,0.0024020930286496878,94.70899470899471,358,378
50,401,201,1,0.0027313963510096073,95.76059850374065,384,401
50,402,201,2,0.002204938791692257,97.50623441396509,391,401
72,401,201,1,0.008150490932166576,85.27508090614887,527,618
72,402,201,2,0.00874889176338911,87.37864077669903,540,618
88,401,201,1,0.008572150953114033,83.22147651006712,372,447
88,402,201,2,0.005020300392061472,89.48545861297539,400,447
71,403,202,1,0.0052002426236867905,90.13722126929675,1051,1166
71,404,202,2,0.010400625877082348,79.58833619210978,928,1166
92,403,202,1,0.007472896482795477,87.68844221105527,698,796
92,404,202,2,0.007387481164187193,85.55276381909547,681,796
23,403,202,1,0.00489890156313777,88.70967741935483,220,248
23,404,202,2,0.0011477922089397907,98.38709677419355,244,248
26,403,202,1,0.005372281186282635,90.17094017094017,422,468
26,404,202,2,0.006501259282231331,88.88888888888889,416,468
50,403,202,1,0.0020078406669199467,97.0074812967581,389,401
50,404,202,2,0.0008225752389989793,98.75311720698254,396,401
14,403,202,1,0.008312487974762917,83.01886792452831,264,318
14,404,202,2,0.0023223641328513622,95.28301886792453,303,318
76,403,202,1,0.043842628598213196,90.76923076923077,59,65
76,404,202,2,0.0025994291063398123,100.0,65,65
49,403,202,1,0.0038351942785084248,93.1924882629108,397,426
49,404,202,2,0.0016017431626096368,96.71361502347418,412,426
86,403,202,1,0.005619802046567202,91.0377358490566,193,212
86,404,202,2,0.0020470707677304745,99.05660377358491,210,212
58,403,202,1,0.009445452131330967,84.61538461538461,198,234
58,404,202,2,0.0005970301572233438,99.57264957264957,233,234
17,1213,203,1,0.008857962675392628,89.73384030418251,472,526
17,1214,203,2,0.005914647597819567,93.15589353612167,490,526
17,1215,203,3,0.0027136444114148617,95.62737642585552,503,526
17,1216,203,4,0.002461399417370558,98.66920152091255,519,526
17,1217,203,5,0.0022400598973035812,98.28897338403041,517,526
17,1218,203,6,0.0012747545260936022,98.28897338403041,517,526
6,405,203,1,0.002931104740127921,93.65384615384616,487,520
6,406,203,2,0.003396298037841916,94.42307692307692,491,520
94,405,203,1,0.007547223009169102,82.75862068965517,168,203
94,406,203,2,0.004903004504740238,94.08866995073892,191,203
61,405,203,1,0.004001582972705364,93.38983050847457,551,590
61,406,203,2,0.006025634240359068,88.64406779661017,523,590
33,405,203,1,0.004995988216251135,91.08159392789373,480,527
33,406,203,2,0.0049188025295734406,90.32258064516128,476,527
71,405,203,1,0.0037750352639704943,92.71012006861064,1081,1166
71,406,203,2,0.007290881127119064,85.67753001715266,999,1166
8,405,203,1,0.0036842289846390486,94.3820224719101,504,534
8,406,203,2,0.004302943591028452,93.07116104868915,497,534
69,405,203,1,0.007291280198842287,86.11111111111111,186,216
69,406,203,2,0.0005203720065765083,99.53703703703704,215,216
89,405,203,1,0.0076750158332288265,84.98789346246973,351,413
89,406,203,2,0.0030437561217695475,94.67312348668281,391,413
64,405,203,1,0.00446306774392724,90.2332361516035,619,686
64,406,203,2,0.005298599135130644,90.52478134110787,621,686
38,407,204,1,0.018376106396317482,68.78306878306879,520,756
38,408,204,2,0.008741588331758976,83.2010582010582,629,756
77,407,204,1,0.018925929442048073,69.55645161290323,345,496
77,408,204,2,0.007129153702408075,86.08870967741935,427,496
64,407,204,1,0.019513359293341637,69.09620991253644,474,686
64,408,204,2,0.009490995667874813,79.73760932944607,547,686
29,407,204,1,0.01808221824467182,73.58490566037736,624,848
