model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
45,45_trigger,,201,nan,0.0,0,9000
global,combine,,201,0.21911422403984598,94.41111111111111,8497,9000
global,global_in_index_0_trigger,,201,0.2191142250166999,94.41111111111111,8497,9000
45,45_trigger,,202,nan,0.0,0,9000
global,combine,,202,0.16808812536961504,96.07777777777777,8647,9000
global,global_in_index_0_trigger,,202,0.16808813059661123,96.07777777777777,8647,9000
45,45_trigger,,203,nan,0.0,0,9000
global,combine,,203,0.2203284319506751,94.58888888888889,8513,9000
global,global_in_index_0_trigger,,203,0.22032843617598216,94.58888888888889,8513,9000
45,45_trigger,,204,nan,0.0,0,9000
global,combine,,204,0.2305845364994473,94.58888888888889,8513,9000
global,global_in_index_0_trigger,,204,0.23058453684382968,94.58888888888889,8513,9000
45,45_trigger,,205,nan,0.0,0,9000
global,combine,,205,0.11849663166205088,97.44444444444444,8770,9000
global,global_in_index_0_trigger,,205,0.11849662700626586,97.44444444444444,8770,9000
45,45_trigger,,206,nan,0.0,0,9000
global,combine,,206,0.16126349488894146,96.63333333333334,8697,9000
global,global_in_index_0_trigger,,206,0.161263498114215,96.63333333333334,8697,9000
45,45_trigger,,207,nan,0.0,0,9000
global,combine,,207,0.1423186583485868,96.95555555555555,8726,9000
global,global_in_index_0_trigger,,207,0.1423186597923438,96.95555555555555,8726,9000
45,45_trigger,,208,nan,0.0,0,9000
global,combine,,208,0.1025541786952979,97.62222222222222,8786,9000
global,global_in_index_0_trigger,,208,0.10255417707562446,97.62222222222222,8786,9000
45,45_trigger,,209,nan,0.0,0,9000
global,combine,,209,0.09716531281835503,97.84444444444445,8806,9000
global,global_in_index_0_trigger,,209,0.09716531322565343,97.84444444444445,8806,9000
45,45_trigger,,210,nan,0.0,0,9000
global,combine,,210,0.10655669406718678,97.67777777777778,8791,9000
global,global_in_index_0_trigger,,210,0.10655669144954946,97.67777777777778,8791,9000
45,45_trigger,,211,nan,0.0,0,9000
global,combine,,211,0.18992304675777752,96.38888888888889,8675,9000
global,global_in_index_0_trigger,,211,0.18992304409212538,96.38888888888889,8675,9000
45,45_trigger,,212,nan,0.0,0,9000
global,combine,,212,0.07766933923049106,98.2,8838,9000
global,global_in_index_0_trigger,,212,0.07766933919696345,98.2,8838,9000
45,45_trigger,,213,nan,0.0,0,9000
global,combine,,213,0.16150981164971986,96.64444444444445,8698,9000
global,global_in_index_0_trigger,,213,0.16150981140798992,96.64444444444445,8698,9000
45,45_trigger,,214,nan,0.0,0,9000
global,combine,,214,0.16687725246283744,96.54444444444444,8689,9000
